tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
ztf,60877.35417820001,3123354174715015009,2,3123354174715,20.601217,1,3123,2.130725,17.398212,17.3707,0.055759877,0.0263,331.0585429,-1.9974835,0.82714283,t17_f5_c3,0.99997723,17.4042,0.0324,443120247.0,True,False,False,27.5.6,0.0,
ztf,60877.361851899885,3123361854715015009,3,3123361854715,19.937431,1,3123,2.3184097,17.804628,17.976,0.06373884,0.0778,331.0585239,-1.9974603,0.8757143,t17_f5_c3,0.9036078,17.8938,0.0891,443120347.0,True,False,False,27.5.6,0.0,
ztf,60877.38017359981,3123380174715015013,1,3123380174715,20.713507,1,3123,2.2612975,17.85308,17.8399,0.04495779,0.0322,331.058536,-1.9974825,0.94714284,t17_f5_c3,0.9999994,17.8245,0.0386,443120147.0,True,False,False,27.5.6,0.0,
ztf,60877.38111109985,3123381114715015009,1,3123381114715,20.75089,1,3123,2.268454,17.83439,17.7863,0.04653704,0.0305,331.0585385,-1.9974893,0.9457143,t17_f5_c3,0.99999774,17.7694,0.0364,443120147.0,True,False,False,27.5.6,0.0,
ztf,60878.369965299964,3124369964715015007,1,3124369964715,20.639647,1,3124,2.2897089,17.964657,17.9652,0.05662061,0.0339,331.0585365,-1.9974966,0.91714287,t17_f5_c3,0.99999756,17.9643,0.0413,443120147.0,True,False,False,27.5.6,0.0,
ztf,60878.3709028,3124370904715015006,1,3124370904715,20.652294,1,3124,2.2637544,17.906914,17.9131,0.056933366,0.0326,331.0585367,-1.997485,0.93857145,t17_f5_c3,0.99998415,17.9316,0.0402,443120147.0,True,False,False,27.5.6,0.0,
ztf,60878.372789400164,3124372784715015009,1,3124372784715,20.64491,1,3124,2.2971013,17.942974,17.9761,0.05597375,0.0344,331.0585272,-1.9974868,0.93714285,t17_f5_c3,0.99999666,17.9403,0.0406,443120147.0,True,False,False,27.5.6,0.0,
ztf,60878.38325229986,3124383254715015005,3,3124383254715,19.876764,1,3124,2.3437936,17.799776,17.9064,0.067294404,0.0684,331.0585249,-1.9974735,0.8842857,t17_f5_c3,0.99981475,17.8934,0.0832,443120347.0,True,False,False,27.5.6,0.0,
ztf,60878.4129050998,3124412904715015009,2,3124412904715,20.656412,1,3124,2.1853213,17.377235,17.4001,0.048312154,0.0249,331.0585338,-1.9974961,0.80714285,t17_f5_c3,0.9999962,17.3883,0.0294,443120247.0,True,False,False,27.5.6,0.0,
ztf,60878.41385419993,3124413854715015009,2,3124413854715,20.577547,1,3124,2.236663,17.408384,17.3895,0.037854325,0.0251,331.0585178,-1.9974999,0.7271429,t17_f5_c3,0.999962,17.3612,0.0293,443120247.0,True,False,False,27.5.6,0.0,
ztf,60879.37879629992,3125378794715015006,2,3125378794715,20.249556,1,3125,2.1756163,17.463493,17.4315,0.043098006,0.0269,331.0585635,-1.9975252,0.7942857,t17_f5_c3,0.99983436,17.4113,0.0319,443120247.0,True,False,False,27.5.6,0.0,
ztf,60879.40216440009,3125402164715015004,3,3125402164715,19.72537,1,3125,2.3291898,17.828238,17.9785,0.06576435,0.0806,331.0585284,-1.9974709,0.9,t17_f5_c3,0.9999877,17.9658,0.0988,443120347.0,True,False,False,27.5.6,0.0,
ztf,60879.42214119993,3125422144715015008,1,3125422144715,20.596413,1,3125,2.2940545,18.002966,18.0099,0.05566467,0.0366,331.0585152,-1.9974703,0.9014286,t17_f5_c3,0.9999974,18.0164,0.045,443120147.0,True,False,False,27.5.6,0.0,
ztf,60879.43748839991,3125437484715015011,1,3125437484715,20.596384,1,3125,2.2551613,18.050884,18.0274,0.058697496,0.0369,331.0585358,-1.9974798,0.9257143,t17_f5_c3,0.9999968,18.0179,0.0447,443120147.0,True,False,False,27.5.6,0.0,
ztf,60880.39443290001,3126394434715015008,2,3126394434715,20.654964,1,3126,2.1441329,17.39761,17.4678,0.049134444,0.0282,331.0585368,-1.9974819,0.9014286,t17_f5_c3,0.9999788,17.4826,0.0344,443120247.0,True,False,False,27.5.6,0.0,
ztf,60880.395370400045,3126395374715015008,2,3126395374715,20.678017,1,3126,2.1974795,17.414782,17.4331,0.040019877,0.0271,331.0585242,-1.9974911,0.9085714,t17_f5_c3,0.9999995,17.4332,0.0327,443120247.0,True,False,False,27.5.6,0.0,
ztf,60880.40114580002,3126401144715015009,3,3126401144715,20.134686,1,3126,2.346895,17.745758,17.7917,0.053678375,0.0561,331.058522,-1.9974752,0.88714284,t17_f5_c3,0.99794245,17.7856,0.0679,443120347.0,True,False,False,27.5.6,0.0,
ztf,60880.42004630016,3126420044715015004,1,3126420044715,20.573233,1,3126,2.2707758,18.053493,18.0675,0.057957456,0.042,331.0585421,-1.9974951,0.9285714,t17_f5_c3,0.99999917,18.0002,0.0487,443120147.0,True,False,False,27.5.6,0.0,
ztf,60880.42004630016,3126420044715025004,1,3126420044715,20.5732,1,3126,2.27078,18.0535,18.0675,0.057957,0.042,331.0585421,-1.9974951,0.928571,t17_f5_c3,,18.0002,0.0487,,False,False,False,27.5.6,0.0,3.156314864715015e+18
ztf,60880.4209838002,3126420984715015015,1,3126420984715,20.573462,1,3126,2.28025,18.0586,18.0593,0.062523484,0.0419,331.058543,-1.9975004,0.89428574,t17_f5_c3,0.9999909,18.0879,0.053,443120147.0,True,False,False,27.5.6,0.0,
ztf,60880.4209838002,3126420984715025015,1,3126420984715,20.5735,1,3126,2.28025,18.0586,18.0593,0.062523,0.0419,331.058543,-1.9975004,0.894286,t17_f5_c3,,18.0879,0.053,,False,False,False,27.5.6,0.0,3.156314864715015e+18
ztf,60880.42193289986,3126421934715015005,1,3126421934715,20.643913,1,3126,2.2766163,18.088593,18.0875,0.07606585,0.0421,331.0585322,-1.9974851,0.88,t17_f5_c3,0.9999944,18.0854,0.0517,443120147.0,True,False,False,27.5.6,0.0,
ztf,60881.33560189977,3127335604715015005,3,3127335604715,20.036152,1,3127,2.2782655,17.768541,17.8313,0.08408709,0.0615,331.0585358,-1.9974573,0.8842857,t17_f5_c3,0.9970751,17.7781,0.0719,443120347.0,True,False,False,27.5.6,0.0,
ztf,60881.396284699906,3127396284715015008,2,3127396284715,20.570305,1,3127,2.1458666,17.43753,17.4865,0.041975893,0.0291,331.0585387,-1.9974858,0.85,t17_f5_c3,0.9999832,17.482,0.035,443120247.0,True,False,False,27.5.6,0.0,
ztf,60881.43784719985,3127437844715015004,1,3127437844715,20.585808,1,3127,2.3016121,18.17848,18.1673,0.058426276,0.0459,331.0585184,-1.9974788,0.94285715,t17_f5_c3,0.9999622,18.142,0.0554,443120147.0,True,False,False,27.5.6,0.0,
ztf,60882.333171300124,3128333174715015011,2,3128333174715,20.562634,1,3128,2.1729624,17.435633,17.433,0.0555281,0.0272,331.0585413,-1.9974999,0.7228571,t17_f5_c3,0.9999964,17.4261,0.0326,443120247.0,True,False,False,27.5.6,0.0,
ztf,60882.37409720011,3128374094715015004,1,3128374094715,20.712944,1,3128,2.252278,18.302406,18.3718,0.0670989,0.0489,331.058542,-1.9974865,0.94714284,t17_f5_c3,0.9999987,18.3557,0.0593,443120147.0,True,False,False,27.5.6,0.0,
ztf,60882.37693289993,3128376934715015007,1,3128376934715,20.68877,1,3128,2.2060122,18.22712,18.2353,0.06118982,0.0444,331.058551,-1.997478,0.9442857,t17_f5_c3,0.99999547,18.2587,0.0556,443120147.0,True,False,False,27.5.6,0.0,
ztf,60882.37881939998,3128378814715015008,1,3128378814715,20.687693,1,3128,2.2703328,18.229776,18.2244,0.05326171,0.0439,331.0585387,-1.9974899,0.94285715,t17_f5_c3,0.99999875,18.2098,0.0531,443120147.0,True,False,False,27.5.6,0.0,
ztf,60882.4090741002,3128409074715015004,3,3128409074715,19.71947,1,3128,2.3220372,17.776165,17.8101,0.07360906,0.0718,331.0585216,-1.9974588,0.84,t17_f5_c3,0.999881,17.8087,0.0885,443120347.0,True,False,False,27.5.6,0.0,
ztf,60882.42180560017,3128421804715015002,2,3128421804715,20.242025,1,3128,2.1692123,17.425083,17.4068,0.041690208,0.0327,331.058529,-1.9974822,0.88285714,t17_f5_c3,0.9999895,17.4054,0.0399,443120247.0,True,False,False,27.5.6,0.0,
ztf,60883.36163190007,3129361634715015005,3,3129361634715,20.051,1,3129,2.3398252,17.72907,17.8909,0.050779752,0.0654,331.058523,-1.9974692,0.9085714,t17_f5_c3,0.9999528,17.8914,0.0802,443120347.0,True,False,False,27.5.6,0.0,
ztf,60883.38309030002,3129383094715015008,2,3129383094715,20.655954,1,3129,2.13037,17.462683,17.5257,0.045207456,0.0294,331.0585398,-1.9974795,0.92142856,t17_f5_c3,0.9999781,17.5425,0.036,443120247.0,True,False,False,27.5.6,0.0,
ztf,60883.420624999795,3129420624715015005,1,3129420624715,20.762518,1,3129,2.2649827,18.312494,18.3451,0.055958714,0.0492,331.0585265,-1.997472,0.94857144,t17_f5_c3,0.99999297,18.3475,0.0607,443120147.0,True,False,False,27.5.6,0.0,
ztf,60883.42157409992,3129421574715015007,1,3129421574715,20.73568,1,3129,2.2890449,18.301842,18.3219,0.05632124,0.0487,331.0585234,-1.9974793,0.9457143,t17_f5_c3,0.9999994,18.2809,0.0578,443120147.0,True,False,False,27.5.6,0.0,
