tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext
ztf,60864.46177079994,3110461775015015027,2,3110461775015,20.489223,1,3110,1.5023415,17.44068,17.431,0.037305363,0.0268,332.5443106,-7.6500562,0.89,t17_f5_c3,0.99999905,17.4203,0.0328,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60865.33246529987,3111332465015015019,2,3111332465015,19.606754,1,3111,1.5363449,17.455256,17.523,0.065106474,0.0636,332.5443073,-7.6500184,0.89,t17_f5_c3,0.99880207,17.5343,0.0821,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60865.35993060004,3111359935015015017,1,3111359935015,19.480955,1,3111,1.322132,17.346952,17.2438,0.054954443,0.0539,332.5442942,-7.6500358,0.9557143,t17_f5_c3,0.9999474,17.1892,0.0655,391120150.0,True,True,False,27.5.6,0.0,,17.197317,0.047444694,0.047879394
ztf,60865.36086810008,3111360865015015024,1,3111360865015,19.462915,1,3111,1.3015238,17.332518,17.3471,0.057180963,0.0583,332.5442916,-7.650043,0.95285714,t17_f5_c3,0.99999976,17.3471,0.0745,391120150.0,True,True,False,27.5.6,0.0,,17.18473,0.0494968,0.049904115
ztf,60865.38648150023,3111386485015015025,3,3111386485015,19.483664,1,3111,1.6612326,18.230173,18.3296,0.091609284,0.1584,332.544331,-7.6500534,0.8857143,t17_f5_c3,0.99199194,18.2369,0.186,391120350.0,True,False,False,27.5.6,0.0,,,,
ztf,60866.38098380016,3112380985015015010,2,3112380985015,19.388622,1,3112,1.481578,17.469576,17.5712,0.048512146,0.075,332.5442965,-7.6500307,0.9342857,t17_f5_c3,0.999999,17.599,0.0984,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60866.41025459999,3112410255015015013,3,3112410255015,19.109962,1,3112,1.6270777,18.245832,18.2768,0.08686763,0.1923,332.5443331,-7.6500856,0.93,t17_f5_c3,0.99999726,18.3461,0.2625,391120350.0,True,False,False,27.5.6,0.0,,,,
ztf,60866.41510420013,3112415105015015009,2,3112415105015,19.39323,1,3112,1.495424,17.422005,17.3997,0.055686038,0.0613,332.5443052,-7.6500445,0.94142854,t17_f5_c3,0.9999999,17.4146,0.0794,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60866.45925930003,3112459255015015007,1,3112459255015,19.457138,1,3112,1.3477153,17.323235,17.3702,0.052983806,0.0609,332.5443076,-7.6500431,0.9842857,t17_f5_c3,0.99999875,17.3378,0.0755,391120150.0,True,True,False,27.5.6,0.0,,17.176624,0.045858383,0.046291243
ztf,60867.37358799996,3113373585015015008,1,3113373585015,19.087479,1,3113,1.3155862,17.33161,17.2807,0.05638774,0.0699,332.5443036,-7.6500642,0.95,t17_f5_c3,0.9999856,17.2285,0.0854,391120150.0,True,True,False,27.5.6,0.0,,17.183937,0.04880463,0.049217075
