tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
ztf,60866.37908559991,3112379082415015008,2,3112379082415,19.938307,1,3112,3.7861223,15.706502,15.7405,0.03329156,0.0107,316.9606471,18.1521663,0.73,t17_f5_c3,0.99345565,15.7266,0.0131,594120224.0,True,False,False,27.5.6,0.0,
ztf,60866.42359950021,3112423592415015008,1,3112423592415,19.529827,1,3112,3.172428,15.733517,15.7569,0.032106586,0.0125,316.9606567,18.152165,0.87,t17_f5_c3,0.9999999,15.7281,0.0152,594120124.0,True,False,False,27.5.6,0.0,
ztf,60868.23376160022,3114233762415015008,1,3114233762415,19.149961,1,3114,3.2009518,15.811984,15.8072,0.031083917,0.0169,316.9606555,18.1521587,0.9185714,t17_f5_c3,0.9999999,15.7825,0.0209,594120124.0,True,False,False,27.5.6,0.0,
ztf,60868.379166699946,3114379162415015005,2,3114379162415,19.7678,1,3114,3.79685,15.7734,15.8122,0.030789,0.0118,316.9606439,18.1521622,0.838571,t17_f5_c3,,15.7942,0.0144,,False,False,False,27.5.6,0.0,3.133344832415015e+18
ztf,60870.244004600216,3116244002415015012,1,3116244002415,19.228052,1,3116,3.1861992,15.903755,15.9302,0.032597076,0.0187,316.9606592,18.1521608,0.9242857,t17_f5_c3,0.9999999,15.9113,0.0232,594120124.0,True,False,False,27.5.6,0.0,
ztf,60870.436273099855,3116436272415015006,2,3116436272415,19.223818,1,3116,3.7804437,15.936047,15.9205,0.031466965,0.0203,316.9606621,18.1521672,0.8957143,t17_f5_c3,0.9999995,15.9037,0.0253,594120224.0,True,False,False,27.5.6,0.0,
ztf,60872.238495400175,3118238492415015013,1,3118238492415,20.188751,1,3118,3.1572926,16.06015,16.0624,0.03808067,0.0115,316.9606583,18.1521704,0.8757143,t17_f5_c3,0.9996968,16.0393,0.0135,594120124.0,True,False,False,27.5.6,0.0,
ztf,60872.42359950021,3118423592415015011,2,3118423592415,19.637966,1,3118,3.8006837,16.144821,16.1458,0.0308446,0.0163,316.9606625,18.1521623,0.9,t17_f5_c3,0.99999857,16.1115,0.0198,594120224.0,True,False,False,27.5.6,0.0,
ztf,60875.30296299979,3121302962415015020,1,3121302962415,20.672625,1,3121,3.219187,16.340836,16.3604,0.035214607,0.0101,316.9606633,18.1521498,0.8657143,t17_f5_c3,0.99999905,16.3371,0.0117,594120124.0,True,False,False,27.5.6,0.0,
ztf,60875.349143499974,3121349142415015027,2,3121349142415,20.705767,1,3121,3.8179586,16.352167,16.3313,0.033654276,0.0107,316.9606648,18.1521556,0.85142857,t17_f5_c3,0.9999999,16.319,0.0129,594120224.0,True,False,False,27.5.6,0.0,
